"from"	"to"
"T.2A,ICP-MS analysis"	"WP1"
"T.2B,Isotopic analysis"	"WP1"
"T.2B,SEM analysis"	"WP1"
"T.3,2D/3D X-r imagery"	"WP1"
"T.4,Inventory/Drawing"	"WP2"
"T.4,Scan 3D & RTI"	"WP2"
"T.4,Microscopic analysis"	"WP2"
"T.5A,Web Database"	"WP3"
"T.5B,Modelling"	"WP3"
"CNRS-PSL AOrOc,UMR8546"	"WP1"
"CNRS-PSL AOrOc,UMR8546"	"WP2"
"CNRS-PSL AOrOc,UMR8546"	"WP3"
"C2RMF Louvre"	"WP1"
"C2RMF Louvre"	"WP2"
"Musée d'Archéologie,nationale"	"WP1"
"Musée d'Archéologie,nationale"	"WP2"
"University of Padua"	"WP1"
"University of Turin"	"WP1"
"University of Turin"	"WP2"
"Musei Reali of Turin"	"WP1"
"Musei Reali of Turin"	"WP2"
"Musei Civici of Reggio Emilia"	"WP1"
"Musei Civici of Reggio Emilia"	"WP2"
