"WP"	"ISO"	"description"
"WP*"	"[EXIF](#MExif)"	"Standard des métadonnées des photographies numériques"
"WP*"	"[XMP](#MXmp)"	"Standard des métadonnées des photographies numériques"
"WP*"	"[XML-TEI](#MTei)"	"Initiative pour l’encodage du texte"
"[WP1](#WP1)"	"[1302:2002](https://www.iso.org/obp/ui/#iso:std:iso:1302:ed-4:v1:fr)"	"Production d'une documentation technique"
"[WP1](#WP1)"	"[3274:1996](https://www.iso.org/fr/standard/1916.html)"	"Caractéristiques nominales des instruments à contact (palpeur)"
"[WP1](#WP1)"	"[4287:1997](https://www.iso.org/fr/standard/10132.html)"	"Terminologie, description et paramètres"
"[WP1](#WP1)"	"[4288:1996](https://www.iso.org/fr/standard/2096.html)"	"Règles et procédures de mesures"
"[WP1](#WP1)"	"[5436-1:2000](https://www.iso.org/fr/standard/21978.html)"	"Étalonnage matériel et logiciel"
"[WP1](#WP1)"	"[5436-2:2012](https://www.iso.org/fr/standard/61261.html)"	"Étalonnage matériel et logiciel"
"[WP1](#WP1)"	"[12085:1996](https://www.iso.org/fr/standard/20867.html)"	"Étalonnage motifs"
"[WP1](#WP1)"	"[13565-1:1996](https://www.iso.org/fr/standard/22279.html)"	"Étalonnage des ICs, surfaces ayant des propriétés fonctionnelles différentes suivant les niveaux"
"[WP1](#WP1)"	"[13565-2:1996](https://www.iso.org/fr/standard/22280.html)"	"Étalonnage des ICs, surfaces ayant des propriétés fonctionnelles différentes suivant les niveaux"
"[WP1](#WP1)"	"[13565-3:1998](https://www.iso.org/fr/standard/26280.html)"	"Étalonnage des ICs, surfaces ayant des propriétés fonctionnelles différentes suivant les niveaux"
"[WP1](#WP1)"	"[ISO/TC 26](https://www.iso.org/fr/committee/47228.html)"	"Cuivre et alliages de cuivre"
"[WP1](#WP1)"	"[17034:2016](https://www.iso.org/fr/standard/29357.html)"	"Analyses isotopiques"
"[WP1](#WP1)"	"[10810:2019](https://www.iso.org/fr/standard/74286.html)"	"Spectroscopie Raman"
"[WP1](#WP1)"	"[10810:2019](https://www.iso.org/fr/standard/74286.html)"	"Spectroscopie des rayon X"
"[WP2](#WP2)"	"[14739-1:2014l](https://www.iso.org/fr/standard/54948.html)"	"Gestion de la documentation 3D (Lasergrammétrie, RTI)"
"[WP3](#WP3)"	"[80000-2:2019](https://www.iso.org/fr/standard/64973.html)"	"Modélisation mathématique"
"[WP3](#WP3)"	"[19115:2003](https://www.iso.org/fr/standard/26020.html)"	"Information géographique"
"[WP3](#WP3)"	"[19139:2007](https://www.iso.org/standard/32557.html)"	"Information géographique ([INSPIRE](#MInspire), métadonnées)"
"[WP3](#WP3)"	"[21127:2006](https://www.iso.org/standard/34424.html)"	"CIDOC-CRM, ontologie de référence pour l'échange d'informations du patrimoine culturel"
"[WP3](#WP3)"	"[15836-1:2017](https://www.iso.org/standard/71339.html)"	"Dublin Core, part 1, Information et documentation"
"[WP3](#WP3)"	"[15836-2:2019](https://www.iso.org/standard/71341.html)"	"Dublin Core, part 2, Information et documentation"
